decimal,keyword,protocol
0,hopopt,IPv6 Hop-by-Hop Option
1,icmp,Internet Control Message
2,igmp,Internet Group Management
3,ggp,Gateway-to-Gateway
4,ipv4,IPv4 encapsulation
5,st,Stream
6,tcp,Transmission Control
7,cbt,CBT
8,egp,Exterior Gateway Protocol
9,igp,any private interior gateway (used by Cisco for their IGRP)
10,bbn-rcc-mon,BBN RCC Monitoring
11,nvp-ii,Network Voice Protocol
12,pup,PUP
13,argus,ARGUS
14,emcon,EMCON
15,xnet,Cross Net Debugger
16,chaos,Chaos
17,udp,User Datagram
18,mux,Multiplexing
19,dcn-meas,DCN Measurement Subsystems
20,hmp,Host Monitoring
21,prm,Packet Radio Measurement
22,xns-idp,XEROX NS IDP
23,trunk-1,Trunk-1
24,trunk-2,Trunk-2
25,leaf-1,Leaf-1
26,leaf-2,Leaf-2
27,rdp,Reliable Data Protocol
28,irtp,Internet Reliable Transaction
29,iso-tp4,ISO Transport Protocol Class 4
30,netblt,Bulk Data Transfer Protocol
31,mfe-nsp,MFE Network Services Protocol
32,merit-inp,MERIT Internodal Protocol
33,dccp,Datagram Congestion Control Protocol
34,3pc,Third Party Connect Protocol
35,idpr,Inter-Domain Policy Routing Protocol
36,xtp,XTP
37,ddp,Datagram Delivery Protocol
38,idpr-cmtp,IDPR Control Message Transport Proto
39,tp++,TP++ Transport Protocol
40,il,IL Transport Protocol
41,ipv6,IPv6 encapsulation
42,sdrp,Source Demand Routing Protocol
43,ipv6-route,Routing Header for IPv6
44,ipv6-frag,Fragment Header for IPv6
45,idrp,Inter-Domain Routing Protocol
46,rsvp,Reservation Protocol
47,gre,Generic Routing Encapsulation
48,dsr,Dynamic Source Routing Protocol
49,bna,BNA
50,esp,Encap Security Payload
51,ah,Authentication Header
52,i-nlsp,Integrated Net Layer Security TUBA
53,swipe,IP with Encryption
54,narp,NBMA Address Resolution Protocol
55,mobile,IP Mobility
56,tlsp,Transport Layer Security Protocol using Kryptonet key management
57,skip,SKIP
58,ipv6-icmp,ICMP for IPv6
59,ipv6-nonxt,No Next Header for IPv6
60,ipv6-opts,Destination Options for IPv6
61,ip61,any host internal protocol
62,cftp,CFTP
63,ip63,any local network
64,sat-expak,SATNET and Backroom EXPAK
65,kryptolan,Kryptolan
66,rvd,MIT Remote Virtual Disk Protocol
67,ippc,Internet Pluribus Packet Core
68,ip68,any distributed file system
69,sat-mon,SATNET Monitoring
70,visa,VISA Protocol
71,ipcv,Internet Packet Core Utility
72,cpnx,Computer Protocol Network Executive
73,cphb,Computer Protocol Heart Beat
